订单号,日期,产品,地区,数量,单价
SO-00003,2026-03-06,机械键盘,华南,26.0,499
SO-00006,2026-01-03,充电宝,西南,40.0,199
SO-00009,2026-01-11,鼠标,华中,22.0,149
SO-00012,2026-03-01,充电宝,西南,13.0,199
SO-00015,2026-02-16,耳机,西南,21.0,799
SO-00018,2026/3/9,显示器,华东,26.0,"1,299"
SO-00021,2026/4/16,鼠标,华中,8.0,149
SO-00024,2026-06-05,手机,华中,2.0,"3,999"
SO-00027,2026-01-25,平板,华北,11.0,"2,599"
SO-00030,2026-04-08,鼠标,华东,12.0,149
SO-00033,2026/3/18,鼠标,华南,37.0,149
SO-00036,2026/5/13,耳机,西南,36.0,799
SO-00039,2026-04-17,手机,西南,38.0,"3,999"
SO-00042,2026-01-08,机械键盘,西南,30.0,499
SO-00045,2026/3/22,手机,华中,20.0,"3,999"
SO-00048,2026-01-06,  平板 ,华东,15.0,2599.0
SO-00051,2026-05-10,  显示器 ,华东,36.0,1299.0
SO-00054,2026/4/26,  耳机 ,华东,40.0,799.0
SO-00057,2026/2/27,  笔记本 ,西南,27.0,5899.0
SO-00060,2026-05-05,  显示器 ,华东,31.0,1299.0
SO-00063,2026-02-20,  耳机 ,华东,7.0,799.0
SO-00066,2026-01-06,  手机 ,华北,1.0,3999.0
SO-00069,2026-02-08,  显示器 ,华南,,1299.0
SO-00072,2026/4/24,  平板 ,华南,40.0,2599.0
SO-00075,2026-05-12,  鼠标 ,华中,25.0,149.0
SO-00078,2026-03-09,  手机 ,华东,13.0,3999.0
SO-00081,2026-04-07,  平板 ,华中,21.0,2599.0
SO-00084,2026-02-02,显示器,华南,12.0,1299.0
SO-00087,2026-04-11,耳机,华东,38.0,799.0
SO-00090,2026/3/27,机械键盘,西南,2.0,499.0
SO-00093,2026-01-05,手机,华中,38.0,3999.0
SO-00096,2026-02-22,鼠标,华中,8.0,149.0
SO-00099,2026-06-26,充电宝,华南,,199.0
SO-00102,2026-05-27,充电宝,西南,32.0,199.0
SO-00105,2026-02-27,鼠标,华北,34.0,149.0
SO-00108,2026-01-25,鼠标,西南,34.0,
SO-00111,2026-02-11,笔记本,华东,8.0,5899.0
SO-00114,2026-01-06,笔记本,西南,3.0,5899.0
SO-00117,2026/4/15,平板,西南,36.0,2599.0
SO-00120,2026-03-05,耳机,华中,29.0,799.0
SO-00123,2026-03-22,笔记本,西南,24.0,5899.0
SO-00126,2026-01-23,充电宝,华北,28.0,199.0
SO-00129,2026-05-25,充电宝,华东,4.0,199.0
SO-00132,2026-02-02,鼠标,华中,14.0,149.0
SO-00135,2026-02-21,耳机,华南,35.0,799.0
SO-00138,2026/5/5,充电宝,西南,8.0,199.0
SO-00141,2026/4/3,显示器,华北,19.0,
SO-00144,2026-03-17,显示器,华北,35.0,1299.0
SO-00147,2026-03-04,平板,华南,40.0,2599.0
SO-00150,2026-02-05,充电宝,西南,36.0,199.0
SO-00153,2026/4/9,鼠标,华东,24.0,149.0
SO-00156,2026-03-11,鼠标,华东,,149.0
SO-00159,2026-06-20,充电宝,华北,11.0,199.0
SO-00162,2026-03-13,平板,华中,6.0,2599.0
SO-00165,2026-03-18,鼠标,华北,38.0,149.0
SO-00168,2026-05-18,充电宝,华东,17.0,199.0
SO-00171,2026-02-09,显示器,华北,11.0,1299.0
SO-00174,2026-04-05,手机,华南,,3999.0
SO-00177,2026-02-22,平板,华北,2.0,2599.0
SO-00180,2026-03-14,平板,华东,25.0,2599.0
SO-00183,2026-01-17,手机,西南,22.0,3999.0
SO-00186,2026-04-15,充电宝,华东,1.0,199.0
SO-00189,2026/5/23,显示器,华南,31.0,1299.0
SO-00192,2026-03-17,充电宝,华中,10.0,199.0
SO-00195,2026/3/14,手机,华南,39.0,3999.0
SO-00198,2026-05-08,充电宝,华南,5.0,199.0
SO-00201,2026/5/5,耳机,西南,6.0,799.0
SO-00204,2026-03-25,显示器,西南,17.0,1299.0
SO-00207,2026-06-06,显示器,华东,29.0,
SO-00210,2026/5/1,平板,华中,25.0,2599.0
SO-00213,2026-02-21,机械键盘,华南,11.0,499.0
SO-00216,2026-06-06,鼠标,华北,19.0,149.0
SO-00219,2026/6/8,鼠标,华南,36.0,149.0
SO-00222,2026-06-11,显示器,华南,1.0,1299.0
SO-00225,2026-02-05,机械键盘,西南,40.0,499.0
SO-00228,2026/2/23,耳机,华南,2.0,799.0
SO-00231,2026-01-22,手机,西南,21.0,3999.0
SO-00234,2026-06-06,显示器,华南,28.0,1299.0
SO-00237,2026-05-12,鼠标,西南,1.0,149.0
SO-00240,2026-01-26,手机,华中,25.0,3999.0
SO-00243,2026-04-19,笔记本,华北,34.0,5899.0
SO-00246,2026-06-23,笔记本,西南,32.0,5899.0
SO-00249,2026-06-17,平板,西南,37.0,2599.0
SO-00252,2026/1/2,耳机,华东,19.0,799.0
SO-00255,2026-05-05,笔记本,华北,25.0,5899.0
SO-00258,2026-04-09,耳机,华东,10.0,799.0
SO-00261,2026-06-10,平板,华南,18.0,2599.0
SO-00264,2026-01-15,耳机,华东,35.0,799.0
SO-00267,2026-02-10,鼠标,西南,2.0,149.0
SO-00270,2026-06-13,鼠标,华北,34.0,149.0
SO-00273,2026-05-11,平板,华北,9.0,2599.0
SO-00276,2026-02-11,机械键盘,华北,22.0,499.0
SO-00279,2026-05-19,机械键盘,华中,39.0,499.0
SO-00282,2026-04-09,鼠标,华中,14.0,149.0
SO-00285,2026-01-23,耳机,华中,18.0,799.0
SO-00288,2026-04-21,平板,西南,25.0,2599.0
SO-00291,2026-02-23,鼠标,华北,2.0,149.0
SO-00294,2026-01-15,笔记本,华南,8.0,5899.0
SO-00297,2026/3/21,机械键盘,华北,10.0,499.0
SO-00300,2026/5/14,笔记本,华东,29.0,5899.0
SO-00303,2026-05-10,手机,华北,23.0,3999.0
SO-00306,2026-02-13,充电宝,西南,39.0,
SO-00309,2026-02-11,平板,华南,24.0,2599.0
SO-00312,2026-03-11,鼠标,华南,16.0,149.0
SO-00315,2026-04-14,手机,华东,27.0,3999.0
SO-00318,2026-06-25,充电宝,华中,4.0,199.0
SO-00321,2026/3/20,手机,华中,19.0,
SO-00324,2026-01-20,手机,西南,11.0,3999.0
SO-00327,2026-06-04,手机,华东,22.0,3999.0
SO-00330,2026/3/27,平板,西南,13.0,2599.0
SO-00333,2026/1/18,显示器,西南,33.0,1299.0
SO-00336,2026-01-25,鼠标,西南,12.0,149.0
SO-00339,2026-02-20,显示器,华北,24.0,1299.0
SO-00342,2026/3/17,平板,华中,23.0,2599.0
SO-00345,2026-02-22,手机,华南,25.0,3999.0
SO-00348,2026-03-26,显示器,华南,15.0,1299.0
SO-00351,2026-02-18,平板,西南,14.0,2599.0
SO-00354,2026-03-06,机械键盘,华南,,499.0
SO-00357,2026/5/17,充电宝,华南,29.0,199.0
SO-00360,2026-04-03,显示器,华中,30.0,1299.0
SO-00363,2026-05-24,笔记本,华中,21.0,5899.0
SO-00366,2026-01-16,鼠标,华中,25.0,149.0
SO-00369,2026-04-10,耳机,西南,27.0,799.0
SO-00372,2026-04-08,平板,华中,2.0,2599.0
SO-00375,2026/5/17,手机,华东,14.0,3999.0
SO-00378,2026-01-04,鼠标,西南,23.0,149.0
SO-00381,2026-02-25,鼠标,华南,15.0,149.0
SO-00384,2026/3/5,耳机,华南,7.0,799.0
SO-00387,2026-03-17,显示器,西南,10.0,1299.0
SO-00390,2026-03-18,耳机,华南,20.0,799.0
SO-00393,2026-02-17,手机,西南,28.0,3999.0
SO-00396,2026-06-20,显示器,华南,2.0,1299.0
SO-00399,2026-04-19,平板,华东,37.0,2599.0
SO-00402,2026/6/1,耳机,华南,26.0,799.0
SO-00405,2026/2/15,显示器,西南,7.0,1299.0
SO-00408,2026/5/8,显示器,西南,38.0,1299.0
SO-00411,2026-04-27,充电宝,西南,38.0,199.0
SO-00414,2026-06-21,充电宝,华南,11.0,199.0
SO-00417,2026-01-05,充电宝,华东,,199.0
SO-00420,2026-05-14,笔记本,西南,25.0,
SO-00423,2026-04-03,机械键盘,西南,30.0,499.0
SO-00426,2026-05-26,笔记本,西南,15.0,5899.0
SO-00429,2026-05-08,笔记本,华东,36.0,5899.0
SO-00432,2026-02-25,平板,华中,25.0,2599.0
SO-00435,2026-02-03,充电宝,西南,6.0,199.0
SO-00438,2026-06-03,充电宝,华南,21.0,199.0
SO-00441,2026-02-16,手机,华东,11.0,3999.0
SO-00444,2026-01-10,机械键盘,华南,20.0,499.0
SO-00447,2026-03-18,显示器,华东,10.0,1299.0
SO-00450,2026-05-23,耳机,华东,19.0,799.0
SO-00453,2026-04-06,充电宝,华南,39.0,199.0
SO-00456,2026-06-25,平板,华北,13.0,2599.0
SO-00459,2026-03-09,鼠标,华北,,149.0
SO-00462,2026-01-18,耳机,西南,28.0,799.0
SO-00465,2026-02-25,平板,华北,19.0,2599.0
SO-00468,2026-06-17,平板,华中,16.0,2599.0
SO-00471,2026-05-27,平板,华南,30.0,2599.0
SO-00474,2026/6/26,显示器,西南,25.0,1299.0
SO-00477,2026-03-16,显示器,华东,25.0,1299.0
SO-00480,2026-05-15,显示器,西南,38.0,1299.0
SO-00483,2026-05-10,显示器,华中,23.0,1299.0
SO-00486,2026-05-24,耳机,华南,31.0,
SO-00489,2026-05-03,平板,华东,20.0,2599.0
SO-00492,2026-06-09,机械键盘,华北,12.0,499.0
SO-00495,2026/5/18,充电宝,华北,38.0,199.0
SO-00498,2026-03-18,鼠标,华北,5.0,149.0
SO-00501,2026/3/19,显示器,华中,33.0,1299.0
SO-00504,2026-05-26,平板,华南,39.0,2599.0
SO-00507,2026-03-09,笔记本,华南,11.0,5899.0
SO-00510,2026-04-14,手机,华东,26.0,3999.0
SO-00513,2026/4/16,笔记本,华中,18.0,5899.0
SO-00516,2026-04-21,充电宝,西南,24.0,199.0
SO-00519,2026-01-16,充电宝,西南,21.0,199.0
SO-00522,2026-05-04,耳机,华南,40.0,799.0
SO-00525,2026-01-16,手机,西南,36.0,3999.0
SO-00528,2026-06-12,鼠标,华北,3.0,149.0
SO-00531,2026-02-13,机械键盘,华中,31.0,499.0
SO-00534,2026-02-02,手机,华南,40.0,3999.0
SO-00537,2026-02-26,充电宝,西南,25.0,199.0
SO-00540,2026-06-19,鼠标,西南,20.0,149.0
SO-00543,2026-03-23,笔记本,华东,2.0,5899.0
SO-00546,2026-02-05,鼠标,华中,1.0,149.0
SO-00549,2026-06-19,耳机,华东,32.0,
SO-00552,2026-03-02,机械键盘,华东,34.0,499.0
SO-00555,2026-06-21,鼠标,西南,26.0,149.0
SO-00558,2026-03-05,笔记本,西南,35.0,5899.0
SO-00561,2026/6/24,充电宝,华南,35.0,199.0
SO-00564,2026-04-15,笔记本,华东,13.0,5899.0
SO-00567,2026-04-18,机械键盘,西南,22.0,499.0
SO-00570,2026-04-22,显示器,华南,32.0,1299.0
SO-00573,2026-04-06,耳机,华北,10.0,799.0
SO-00576,2026-04-21,耳机,华北,34.0,
SO-00579,2026/3/20,机械键盘,华北,11.0,499.0
SO-00582,2026-06-12,手机,华南,37.0,3999.0
SO-00585,2026/3/11,平板,华北,2.0,2599.0
SO-00588,2026-04-13,充电宝,华南,9.0,199.0
SO-00591,2026-06-15,平板,华南,5.0,2599.0
SO-00594,2026-02-19,机械键盘,华中,28.0,499.0
SO-00597,2026-01-22,耳机,西南,26.0,799.0
SO-00600,2026-03-23,耳机,华北,14.0,799.0
SO-00603,2026-02-16,显示器,西南,8.0,1299.0
SO-00606,2026-01-15,平板,华东,25.0,
SO-00609,2026-01-17,手机,西南,21.0,3999.0
SO-00612,2026/1/25,笔记本,华南,8.0,5899.0
SO-00615,2026/6/26,显示器,西南,19.0,1299.0
SO-00618,2026-04-13,手机,华中,32.0,3999.0
SO-00621,2026/5/21,显示器,华北,13.0,1299.0
SO-00624,2026-04-02,平板,华中,28.0,2599.0
SO-00627,2026-04-03,显示器,华中,,1299.0
SO-00630,2026-04-26,充电宝,华北,24.0,199.0
SO-00633,2026-05-12,机械键盘,华北,20.0,499.0
SO-00636,2026-04-02,手机,西南,31.0,3999.0
SO-00639,2026-06-25,鼠标,华中,21.0,149.0
SO-00642,2026-06-27,显示器,西南,10.0,1299.0
SO-00645,2026-03-23,平板,华北,22.0,2599.0
SO-00648,2026/2/10,笔记本,华南,15.0,5899.0
SO-00651,2026/4/5,手机,华南,38.0,
SO-00654,2026-04-10,显示器,华东,14.0,1299.0
SO-00657,2026/3/3,平板,华北,26.0,2599.0
SO-00660,2026-03-24,手机,华北,8.0,3999.0
SO-00663,2026/5/1,充电宝,华中,29.0,199.0
SO-00666,2026/5/4,充电宝,华中,2.0,199.0
SO-00669,2026/6/3,平板,华南,40.0,2599.0
SO-00672,2026-02-15,显示器,西南,39.0,1299.0
SO-00675,2026-05-27,笔记本,西南,39.0,5899.0
SO-00678,2026-02-01,充电宝,华北,36.0,199.0
SO-00681,2026-03-21,耳机,华中,13.0,799.0
SO-00684,2026/3/18,机械键盘,华北,10.0,499.0
SO-00687,2026-02-20,鼠标,西南,18.0,149.0
SO-00690,2026-05-20,手机,华北,32.0,3999.0
SO-00693,2026/1/5,耳机,西南,38.0,799.0
SO-00696,2026-06-04,机械键盘,华东,39.0,499.0
SO-00699,2026/2/7,平板,西南,20.0,2599.0
SO-00702,2026-03-24,鼠标,华北,6.0,149.0
SO-00705,2026-01-08,平板,华南,35.0,2599.0
SO-00708,2026-06-24,机械键盘,西南,7.0,
SO-00711,2026-01-06,机械键盘,华东,8.0,499.0
SO-00714,2026/2/18,机械键盘,西南,1.0,499.0
SO-00717,2026-02-01,耳机,华东,14.0,799.0
SO-00720,2026/3/14,手机,华北,7.0,3999.0
SO-00723,2026/5/18,平板,华东,6.0,2599.0
SO-00726,2026/1/16,充电宝,华东,37.0,199.0
SO-00729,2026-05-27,耳机,华中,40.0,799.0
SO-00732,2026/5/12,显示器,华北,9.0,1299.0
SO-00735,2026-06-03,充电宝,华中,26.0,199.0
SO-00738,2026-02-21,鼠标,西南,30.0,149.0
SO-00741,2026/5/14,平板,华中,32.0,2599.0
SO-00744,2026/3/21,笔记本,华北,5.0,5899.0
SO-00747,2026-02-21,充电宝,华东,39.0,199.0
SO-00750,2026-06-14,充电宝,华北,15.0,199.0
SO-00753,2026-03-16,平板,华东,23.0,2599.0
SO-00756,2026/4/19,显示器,西南,12.0,1299.0
SO-00759,2026-02-21,平板,华中,38.0,2599.0
SO-00762,2026-04-03,鼠标,华中,14.0,149.0
SO-00765,2026-01-06,耳机,华中,36.0,799.0
SO-00768,2026/4/26,平板,西南,28.0,2599.0
SO-00771,2026-01-18,手机,西南,17.0,3999.0
SO-00774,2026-01-03,耳机,华中,16.0,799.0
SO-00777,2026-02-19,显示器,华东,16.0,1299.0
SO-00780,2026-03-01,鼠标,华南,15.0,149.0
SO-00291,2026-02-23,鼠标,华北,2.0,149.0
SO-00069,2026-02-08,  显示器 ,华南,,1299.0
SO-00342,2026/3/17,平板,华中,23.0,2599.0
SO-00417,2026-01-05,充电宝,华东,,199.0
SO-00762,2026-04-03,鼠标,华中,14.0,149.0
SO-00336,2026-01-25,鼠标,西南,12.0,149.0
SO-00009,2026-01-11,鼠标,华中,22.0,149
SO-00309,2026-02-11,平板,华南,24.0,2599.0
SO-00075,2026-05-12,  鼠标 ,华中,25.0,149.0
SO-00183,2026-01-17,手机,西南,22.0,3999.0
