订单号,日期,产品,类别,地区,销售员,数量,单价
SO-0007,2026-01-02,平板,平板,华中,王强,18,2599
SO-0120,2026-01-02,机械键盘,外设,华北,刘敏,27,499
SO-0070,2026-01-03,显示器,外设,华东,李娜,17,1299
SO-0052,2026-01-04,手机,手机,华南,李娜,27,3299
SO-0033,2026-01-05,手机,手机,华北,王强,16,3299
SO-0132,2026-01-06,平板,平板,华南,李娜,31,2599
SO-0086,2026-01-07,耳机,配件,华中,王强,18,799
SO-0004,2026-01-08,手机,手机,华南,李娜,33,3299
SO-0139,2026-01-11,机械键盘,外设,西南,刘敏,24,499
SO-0130,2026-01-14,机械键盘,外设,华南,赵磊,5,499
SO-0192,2026-01-14,耳机,配件,西南,王强,40,799
SO-0034,2026-01-15,耳机,配件,西南,张伟,6,799
SO-0058,2026-01-16,机械键盘,外设,华东,张伟,38,499
SO-0118,2026-01-16,耳机,配件,华中,刘敏,38,799
SO-0178,2026-01-16,平板,平板,华北,陈杰,37,2599
SO-0087,2026-01-18,显示器,外设,华北,赵磊,33,1299
SO-0140,2026-01-18,机械键盘,外设,华东,刘敏,32,499
SO-0077,2026-01-20,平板,平板,西南,张伟,24,2599
SO-0114,2026-01-20,显示器,外设,华南,王强,22,1299
SO-0211,2026-01-20,充电宝,配件,华北,王强,40,149
SO-0129,2026-01-21,充电宝,配件,华东,赵磊,35,149
SO-0190,2026-01-23,机械键盘,外设,华北,王强,8,499
SO-0152,2026-01-24,显示器,外设,华南,刘敏,16,1299
SO-0183,2026-01-24,耳机,配件,西南,陈杰,2,799
SO-0238,2026-01-24,鼠标,配件,华东,王强,35,199
SO-0046,2026-01-25,鼠标,配件,华北,刘敏,27,199
SO-0138,2026-01-27,显示器,外设,西南,张伟,37,1299
SO-0162,2026-01-27,笔记本,电脑,西南,王强,31,5899
SO-0141,2026-01-28,鼠标,配件,华北,赵磊,30,199
SO-0226,2026-01-28,耳机,配件,华中,陈杰,23,799
SO-0071,2026-01-30,手机,手机,西南,李娜,18,3299
SO-0195,2026-02-01,笔记本,电脑,西南,李娜,11,5899
SO-0239,2026-02-01,充电宝,配件,华北,赵磊,17,149
SO-0233,2026-02-03,手机,手机,华北,王强,27,3299
SO-0126,2026-02-04,充电宝,配件,华南,张伟,17,149
SO-0237,2026-02-06,耳机,配件,华中,陈杰,24,799
SO-0166,2026-02-08,平板,平板,西南,王强,6,2599
SO-0008,2026-02-09,耳机,配件,华北,张伟,6,799
SO-0142,2026-02-09,鼠标,配件,华南,赵磊,34,199
SO-0029,2026-02-10,充电宝,配件,华东,赵磊,17,149
SO-0172,2026-02-10,耳机,配件,华南,陈杰,5,799
SO-0173,2026-02-10,笔记本,电脑,华中,刘敏,39,5899
SO-0017,2026-02-11,充电宝,配件,华中,王强,36,149
SO-0188,2026-02-11,机械键盘,外设,华中,赵磊,32,499
SO-0054,2026-02-12,鼠标,配件,华东,刘敏,17,199
SO-0234,2026-02-14,耳机,配件,华南,陈杰,24,799
SO-0089,2026-02-15,显示器,外设,华东,张伟,39,1299
SO-0060,2026-02-17,手机,手机,西南,张伟,16,3299
SO-0171,2026-02-23,耳机,配件,华北,赵磊,6,799
SO-0044,2026-02-24,平板,平板,西南,陈杰,31,2599
SO-0057,2026-02-25,笔记本,电脑,西南,赵磊,35,5899
SO-0018,2026-02-26,机械键盘,外设,华东,李娜,3,499
SO-0108,2026-02-26,平板,平板,西南,刘敏,4,2599
SO-0104,2026-02-27,耳机,配件,华南,张伟,3,799
SO-0177,2026-02-27,平板,平板,华北,李娜,5,2599
SO-0197,2026-02-27,手机,手机,华中,张伟,10,3299
SO-0042,2026-02-28,手机,手机,华东,王强,5,3299
SO-0159,2026-02-28,机械键盘,外设,华南,王强,1,499
SO-0215,2026-02-28,手机,手机,华中,张伟,7,3299
SO-0156,2026-03-01,手机,手机,华南,王强,8,3299
SO-0064,2026-03-03,显示器,外设,华中,李娜,20,1299
SO-0150,2026-03-03,鼠标,配件,华中,陈杰,16,199
SO-0002,2026-03-04,耳机,配件,华南,赵磊,7,799
SO-0045,2026-03-04,充电宝,配件,华中,李娜,7,149
SO-0068,2026-03-04,机械键盘,外设,华北,李娜,29,499
